routing type,vehicles,avg speed,avg time to finish trip,proportion of finished trips,optimaldiffavg,optimaldiff10%avg,dijdiffavg,dijdiff10%avg,algo processing time (ms),"(note only 80% of vehicles are tracked, the other 20% are used to initially populate the network)"
3,1000,13.58348763,137.04875,1,11.07714714,83.62710307,2.985970161,36.43751168,21.100967,0.3
3,1500,12.71653762,164.7808333,1,38.06346191,292.1170033,19.49076681,190.8071474,35.690729,0.3
3,2000,10.79409039,212.8662461,0.990625,86.36759043,550.4433078,37.24814729,363.3151644,63.616412,0.3
3,2500,10.16902565,241.597237,0.941,112.2235652,652.8309066,35.47924472,359.1717221,171.795681,0.3
3,3000,10.82415365,231.6755809,0.950416667,113.4633349,689.485425,31.42948336,327.9360307,446.777474,0.3
3,3500,11.18920818,227.8136118,0.923571429,106.261218,593.8505211,38.15225266,355.2225837,834.502213,0.3
3,4000,10.93709938,233.8004209,0.8909375,106.411285,593.1065967,32.50251619,288.342513,1322.253792,0.3
3,4500,10.84929248,233.4955128,0.866666667,112.6670533,584.568398,28.86841367,268.1806951,1881.51066,0.3
3,5000,10.90201563,252.7362226,0.9345,141.8619771,757.2506808,40.0895954,351.5523932,2832.576167,0.3
3,1000,13.27813734,138.6725,1,12.63308096,102.669712,1.542598513,17.93543806,21.05728,0.4
3,1500,11.13656396,175.8516667,1,37.48668846,239.7065485,6.751089549,89.79645322,32.213118,0.4
3,2000,10.94900385,199.9213836,0.99375,73.82405465,482.2974226,23.16890922,252.574815,45.824238,0.4
3,2500,9.152858118,236.1111111,0.8865,110.8490228,673.3520318,20.44082677,282.0360686,96.339415,0.4
3,3000,9.57193559,253.0042533,0.881666667,140.1873856,825.420629,30.11682578,337.0852128,215.079263,0.4
3,3500,9.797882956,250.6345004,0.836428571,146.1905842,812.5355701,32.78744755,344.787137,673.329719,0.4
3,4000,10.20073286,243.8775144,0.87,129.0878157,709.4240329,25.92653532,294.0404542,1017.360494,0.4
3,4500,9.87205566,249.1995336,0.833888889,137.2069893,745.1676112,24.79405956,276.9202375,1917.738468,0.4
3,5000,9.452415918,260.5867665,0.801,165.3083123,872.7645551,24.20629158,260.7209905,2727.680299,0.4
3,1000,13.17243484,139.27,1,12.29698294,99.26444021,0.42976421,7.332722642,21.714781,0.5
3,1500,10.33888376,184.9208333,1,42.5842603,268.4136564,2.963355147,46.22836392,31.603949,0.5
3,2000,8.937689807,225.4282895,0.95,94.09802969,607.3735935,10.44452088,157.984094,44.63301,0.5
3,2500,8.751169325,239.4667412,0.8945,108.8157249,596.7940533,8.281092791,146.2210752,96.653937,0.5
3,3000,9.324602183,240.9588498,0.840416667,124.0207873,708.6439207,20.70622424,258.0394054,133.522299,0.5
3,3500,9.198447155,255.2364425,0.823214286,140.0338415,766.5498797,22.21086159,272.9887577,315.144595,0.5
3,4000,9.020384409,268.382721,0.7740625,160.5927197,827.3088785,18.93819611,228.7058461,832.079163,0.5
3,4500,8.270394619,282.4924991,0.759166667,201.7506381,1060.145342,23.30476182,272.697961,1427.800127,0.5
3,5000,8.578989469,265.6831936,0.688849824,210.5283555,1177.322066,14.06492346,196.7237533,2905.416553,0.5
3,1000,13.12440739,139.7425,1,13.51301332,109.5357135,-0.089919185,4.055276123,20.892071,0.6
3,1500,9.336005705,203.315,1,57.96527421,364.26849,4.182454692,51.39703434,35.012989,0.6
3,2000,8.313896907,234.268902,0.950625,93.89091216,542.5982691,2.500869286,58.55455529,53.595501,0.6
